D,H,LK,LKW,HK,F,Fg,V,Drzewostan
40.4,34.59,12.89,0.373,21.70,0.446,0.445,1.9774,beskidek
36.2,30.22,10.42,0.345,19.80,0.448,0.448,1.3945,beskidek
47.1,37.12,16.33,0.440,20.79,0.451,0.450,2.9151,beskidek
43.2,35.20,16.50,0.469,18.70,0.443,0.442,2.2856,beskidek
51.1,36.39,18.50,0.508,17.89,0.460,0.459,3.4294,beskidek
52.4,38.25,16.95,0.443,21.30,0.476,0.475,3.9220,beskidek
47.2,37.44,18.45,0.493,18.99,0.490,0.490,3.2123,beskidek
31.0,33.69,11.69,0.347,22.00,0.455,0.453,1.1563,beskidek
33.1,32.59,13.39,0.411,19.20,0.482,0.480,1.3519,beskidek
48.9,35.06,18.06,0.515,17.00,0.412,0.411,2.7094,beskidek
43.6,35.09,13.30,0.379,21.79,0.423,0.422,2.2160,beskidek
33.6,30.01,11.31,0.377,18.70,0.461,0.460,1.2276,beskidek
44.4,36.31,16.52,0.455,19.79,0.479,0.479,2.6951,beskidek
39.7,35.85,13.05,0.364,22.80,0.521,0.520,2.3127,beskidek
37.5,33.44,14.34,0.429,19.10,0.463,0.462,1.7105,beskidek
33.8,28.52,13.12,0.460,15.40,0.494,0.493,1.2652,beskidek
45.5,32.33,16.83,0.521,15.50,0.486,0.485,2.5549,beskidek
40.3,32.58,15.18,0.466,17.40,0.459,0.458,1.9084,beskidek
38.5,32.67,15.58,0.477,17.09,0.464,0.464,1.7663,beskidek
34.4,34.11,16.41,0.481,17.70,0.479,0.478,1.5194,beskidek
41.1,34.79,14.20,0.408,20.59,0.490,0.490,2.2635,beskidek
33.0,32.95,14.65,0.445,18.30,0.545,0.544,1.5355,beskidek
31.3,34.05,10.55,0.310,23.50,0.488,0.487,1.2786,beskidek
32.2,33.75,10.80,0.320,22.95,0.484,0.482,1.3291,beskidek
34.6,33.92,8.93,0.263,24.99,0.444,0.442,1.4157,beskidek
36.4,35.65,15.85,0.445,19.80,0.520,0.519,1.9308,beskidek
61.0,40.92,19.13,0.468,21.79,0.430,0.430,5.1401,beskidek
57.1,41.04,21.45,0.523,19.59,0.422,0.422,4.4338,beskidek
38.3,35.14,14.45,0.411,20.69,0.474,0.473,1.9209,beskidek
48.3,37.30,19.31,0.518,17.99,0.457,0.457,3.1257,beskidek
36.0,34.38,13.28,0.386,21.10,0.445,0.443,1.5570,beskidek
46.0,36.16,16.06,0.444,20.10,0.499,0.499,2.9998,beskidek
39.5,33.44,17.24,0.516,16.20,0.489,0.488,2.0028,beskidek
38.2,32.92,14.63,0.444,18.29,0.469,0.469,1.7715,beskidek
44.3,37.54,13.15,0.350,24.39,0.409,0.408,2.3644,beskidek
42.3,37.45,20.05,0.535,17.40,0.431,0.430,2.2690,beskidek
33.9,30.82,14.22,0.461,16.60,0.505,0.504,1.4046,beskidek
39.3,36.36,14.26,0.392,22.10,0.486,0.486,2.1444,beskidek
39.0,35.65,12.25,0.344,23.40,0.418,0.417,1.7806,beskidek
41.9,34.29,13.30,0.388,20.99,0.456,0.455,2.1570,beskidek
51.9,39.79,17.10,0.430,22.69,0.461,0.461,3.8810,beskidek
41.5,35.34,13.35,0.378,21.99,0.469,0.468,2.2397,beskidek
43.3,35.33,17.73,0.502,17.60,0.470,0.469,2.4441,beskidek
52.5,37.10,21.30,0.574,15.80,0.413,0.413,3.3154,beskidek
57.0,38.74,15.95,0.412,22.79,0.411,0.411,4.0624,beskidek
45.7,37.50,17.80,0.475,19.70,0.401,0.401,2.4688,beskidek
47.6,39.21,19.72,0.503,19.49,0.447,0.447,3.1223,beskidek
45.7,37.52,20.62,0.550,16.90,0.436,0.435,2.6813,beskidek
47.9,36.45,18.26,0.501,18.19,0.469,0.469,3.0822,beskidek
44.8,37.58,18.99,0.505,18.59,0.460,0.459,2.7221,beskidek
43.1,38.56,21.06,0.546,17.50,0.401,0.400,2.2569,beskidek
34.9,33.69,14.90,0.442,18.79,0.447,0.446,1.4408,beskidek
42.3,35.95,14.25,0.396,21.70,0.509,0.508,2.5709,beskidek
51.0,37.19,18.10,0.487,19.09,0.400,0.399,3.0356,beskidek
35.7,32.40,12.50,0.386,19.90,0.460,0.459,1.4935,beskidek
31.9,27.61,9.12,0.330,18.49,0.448,0.446,0.9882,beskidek
42.2,37.42,17.82,0.476,19.60,0.467,0.466,2.4423,beskidek
45.3,35.81,14.92,0.417,20.89,0.484,0.483,2.7919,beskidek
41.2,36.54,16.15,0.442,20.39,0.466,0.465,2.2712,beskidek
41.9,38.09,16.50,0.433,21.59,0.521,0.520,2.7360,beskidek
61.6,40.41,23.43,0.580,16.98,0.403,0.403,4.8570,beskidek
46.3,37.10,15.70,0.423,21.40,0.435,0.434,2.7147,beskidek
50.7,36.44,15.05,0.413,21.39,0.392,0.392,2.8855,beskidek
40.6,34.57,15.38,0.445,19.19,0.448,0.447,2.0068,beskidek
42.5,36.43,15.93,0.437,20.50,0.460,0.459,2.3765,beskidek
42.5,36.43,15.93,0.437,20.50,0.460,0.459,2.3765,beskidek
39.8,34.10,17.80,0.522,16.30,0.442,0.441,1.8755,beskidek
51.0,37.34,17.55,0.470,19.79,0.448,0.448,3.4204,beskidek
39.7,34.50,13.10,0.380,21.40,0.452,0.451,1.9304,beskidek
35.6,33.34,13.74,0.412,19.60,0.458,0.457,1.5200,beskidek
36.9,31.10,12.10,0.389,19.00,0.470,0.469,1.5640,beskidek
51.3,39.24,18.65,0.475,20.59,0.428,0.427,3.4683,beskidek
53.2,36.89,17.70,0.480,19.19,0.413,0.413,3.3902,beskidek
55.7,37.29,18.20,0.488,19.09,0.365,0.365,3.3177,beskidek
39.2,34.65,13.65,0.394,21.00,0.445,0.444,1.8599,beskidek
40.4,35.60,17.90,0.503,17.70,0.481,0.480,2.1938,beskidek
33.1,33.55,13.45,0.401,20.10,0.461,0.460,1.3314,beskidek
51.9,37.34,17.55,0.470,19.79,0.384,0.383,3.0341,beskidek
31.3,33.59,13.09,0.390,20.50,0.538,0.537,1.3910,beskidek
38.0,33.89,11.30,0.333,22.59,0.399,0.398,1.5355,beskidek
36.7,34.75,15.35,0.442,19.40,0.466,0.464,1.7120,beskidek
40.2,33.75,14.25,0.422,19.50,0.433,0.432,1.8534,beskidek
43.7,38.52,17.23,0.447,21.29,0.398,0.397,2.3019,beskidek
37.9,35.19,11.40,0.324,23.79,0.527,0.526,2.0906,beskidek
43.8,36.89,14.30,0.388,22.59,0.481,0.480,2.6739,beskidek
55.8,37.74,17.45,0.462,20.29,0.388,0.387,3.5785,beskidek
40.3,34.89,12.69,0.364,22.20,0.451,0.450,2.0077,beskidek
35.5,32.10,10.70,0.333,21.40,0.526,0.525,1.6710,beskidek
47.4,36.54,16.85,0.461,19.69,0.432,0.431,2.7855,beskidek
41.7,35.44,14.85,0.419,20.59,0.474,0.473,2.2934,beskidek
48.8,35.50,14.30,0.403,21.20,0.432,0.431,2.8670,beskidek
38.1,35.79,15.10,0.422,20.69,0.438,0.437,1.7871,beskidek
